Country,Indicator,Value,Rank,Country_with_rank
Tunisia,Agricultural land share,62.4,35,35. Tunisia
Cuba,Agricultural land share,61.7,36,36. Cuba
Ireland,Agricultural land share,60.8,37,37. Ireland
Sudan,Agricultural land share,60.3,38,38. Sudan
India,Agricultural land share,60.1,39,39. India
Tuvalu,Agricultural land share,60,40,40. Tuvalu
Armenia,Agricultural land share,58.6,41,41. Armenia
Afghanistan,Agricultural land share,58.4,42,42. Afghanistan
Uzbekistan,Agricultural land share,58.1,43,43. Uzbekistan
Azerbaijan,Agricultural land share,57.8,44,44. Azerbaijan
El Salvador,Agricultural land share,57.7,45,45. El Salvador
Hungary,Agricultural land share,55.7,46,46. Hungary
China,Agricultural land share,55.4,47,47. China
Dominican Republic,Agricultural land share,55.4,48,48. Dominican Republic
Ghana,Agricultural land share,55.4,49,49. Ghana
Romania,Agricultural land share,55.3,50,50. Romania
Sierra Leone,Agricultural land share,54.7,51,51. Sierra Leone
Paraguay,Agricultural land share,54.1,52,52. Paraguay
Kyrgyz Republic,Agricultural land share,54,53,53. Kyrgyz Republic
Netherlands,Agricultural land share,53.5,54,54. Netherlands
Burkina Faso,Agricultural land share,53.4,55,55. Burkina Faso
Mozambique,Agricultural land share,52.8,56,56. Mozambique
France,Agricultural land share,52.5,57,57. France
Luxembourg,Agricultural land share,51.7,58,58. Luxembourg
Mexico,Agricultural land share,50.7,59,59. Mexico
Turkiye,Agricultural land share,50.1,60,60. Turkiye
North Macedonia,Agricultural land share,49.6,61,61. North Macedonia
Spain,Agricultural land share,49.6,62,62. Spain
Kenya,Agricultural land share,49.5,63,63. Kenya
Senegal,Agricultural land share,49.4,64,64. Senegal
Sri Lanka,Agricultural land share,48.6,65,65. Sri Lanka
Tonga,Agricultural land share,48.6,66,66. Tonga
Poland,Agricultural land share,47.6,67,67. Poland
Germany,Agricultural land share,47.5,68,68. Germany
Australia,Agricultural land share,47.2,69,69. Australia
Namibia,Agricultural land share,47.1,70,70. Namibia
Pakistan,Agricultural land share,46.7,71,71. Pakistan
Bulgaria,Agricultural land share,46.1,72,72. Bulgaria
United States,Agricultural land share,46.1,73,73. United States
Lithuania,Agricultural land share,45.9,74,74. Lithuania
Czechia,Agricultural land share,45.8,75,75. Czechia
Botswana,Agricultural land share,45.6,76,76. Botswana
South Sudan,Agricultural land share,44.9,77,77. South Sudan
Sao Tome and Principe,Agricultural land share,44.8,78,78. Sao Tome and Principe
Tanzania,Agricultural land share,44.6,79,79. Tanzania
Belgium,Agricultural land share,44.4,80,80. Belgium
"Yemen, Rep.",Agricultural land share,44.4,81,"81. Yemen, Rep."
Italy,Agricultural land share,44.3,82,82. Italy
Thailand,Agricultural land share,43.8,83,83. Thailand
Portugal,Agricultural land share,43.3,84,84. Portugal
Guatemala,Agricultural land share,43,85,85. Guatemala
Mauritius,Agricultural land share,43,86,86. Mauritius
Philippines,Agricultural land share,42.7,87,87. Philippines
Argentina,Agricultural land share,42.4,88,88. Argentina
Nicaragua,Agricultural land share,42.3,89,89. Nicaragua
Kiribati,Agricultural land share,42,90,90. Kiribati
Benin,Agricultural land share,41.8,91,91. Benin
Zimbabwe,Agricultural land share,41.8,92,92. Zimbabwe
Greece,Agricultural land share,41.7,93,93. Greece
Serbia,Agricultural land share,40.4,94,94. Serbia
Chad,Agricultural land share,40,95,95. Chad
Andorra,Agricultural land share,39.9,96,96. Andorra
Belarus,Agricultural land share,39.6,97,97. Belarus
Viet Nam,Agricultural land share,39.2,98,98. Viet Nam
Marshall Islands,Agricultural land share,38.9,99,99. Marshall Islands
Jamaica,Agricultural land share,38.5,100,100. Jamaica
Mauritania,Agricultural land share,38.5,101,101. Mauritania
San Marino,Agricultural land share,38.3,102,102. San Marino
Albania,Agricultural land share,38.1,103,103. Albania
Slovak Republic,Agricultural land share,38,104,104. Slovak Republic
Switzerland,Agricultural land share,37.8,105,105. Switzerland
Angola,Agricultural land share,36.9,106,106. Angola
New Zealand,Agricultural land share,36.9,107,107. New Zealand
Niger,Agricultural land share,36.8,108,108. Niger
Colombia,Agricultural land share,36.5,109,109. Colombia
Bolivia,Agricultural land share,35.8,110,110. Bolivia
Mali,Agricultural land share,35.5,111,111. Mali
Cambodia,Agricultural land share,34.9,112,112. Cambodia
Ethiopia,Agricultural land share,34.1,113,113. Ethiopia
Georgia,Agricultural land share,34.1,114,114. Georgia
Dominica,Agricultural land share,33.3,115,115. Dominica
Costa Rica,Agricultural land share,33.1,116,116. Costa Rica
Liechtenstein,Agricultural land share,32.3,117,117. Liechtenstein
Zambia,Agricultural land share,32.1,118,118. Zambia
Honduras,Agricultural land share,32,119,119. Honduras
Latvia,Agricultural land share,31.7,120,120. Latvia
Austria,Agricultural land share,31.5,121,121. Austria
"Congo, Rep.",Agricultural land share,31.2,122,"122. Congo, Rep."
Slovenia,Agricultural land share,30.4,123,123. Slovenia
Guinea-Bissau,Agricultural land share,29.9,124,124. Guinea-Bissau
Guam,Agricultural land share,29.6,125,125. Guam
Panama,Agricultural land share,29.5,126,126. Panama
Indonesia,Agricultural land share,29.1,127,127. Indonesia
"Iran, Islamic Rep.",Agricultural land share,29,128,"128. Iran, Islamic Rep."
Brazil,Agricultural land share,28.3,129,129. Brazil
Tajikistan,Agricultural land share,27.9,130,130. Tajikistan
Croatia,Agricultural land share,26.6,131,131. Croatia
Malaysia,Agricultural land share,26.1,132,132. Malaysia
Nepal,Agricultural land share,26.1,133,133. Nepal
Malta,Agricultural land share,25.9,134,134. Malta
Israel,Agricultural land share,24.8,135,135. Israel
"Venezuela, RB",Agricultural land share,24.4,136,"136. Venezuela, RB"
Grenada,Agricultural land share,23.5,137,137. Grenada
Barbados,Agricultural land share,23.3,138,138. Barbados
Estonia,Agricultural land share,23.1,139,139. Estonia
St. Kitts and Nevis,Agricultural land share,23.1,140,140. St. Kitts and Nevis
Timor-Leste,Agricultural land share,23,141,141. Timor-Leste
Iraq,Agricultural land share,21.8,142,142. Iraq
Bosnia and Herzegovina,Agricultural land share,21.7,143,143. Bosnia and Herzegovina
"Korea, Dem. People's Rep.",Agricultural land share,21.6,144,"144. Korea, Dem. People's Rep."
Ecuador,Agricultural land share,21.5,145,145. Ecuador
Cameroon,Agricultural land share,20.9,146,146. Cameroon
Antigua and Barbuda,Agricultural land share,20.5,147,147. Antigua and Barbuda
Liberia,Agricultural land share,20,148,148. Liberia
Nauru,Agricultural land share,20,149,149. Nauru
Myanmar,Agricultural land share,19.9,150,150. Myanmar
Maldives,Agricultural land share,19.8,151,151. Maldives
Cabo Verde,Agricultural land share,19.6,152,152. Cabo Verde
Montenegro,Agricultural land share,19.6,153,153. Montenegro
Peru,Agricultural land share,19.1,154,154. Peru
Puerto Rico (US),Agricultural land share,19,155,155. Puerto Rico (US)
St. Vincent and the Grenadines,Agricultural land share,17.9,156,156. St. Vincent and the Grenadines
Samoa,Agricultural land share,17.6,157,157. Samoa
Algeria,Agricultural land share,17.4,158,158. Algeria
Fiji,Agricultural land share,17.1,159,159. Fiji
St. Lucia,Agricultural land share,16.3,160,160. St. Lucia
Iceland,Agricultural land share,16.2,161,161. Iceland
"Korea, Rep.",Agricultural land share,16.1,162,"162. Korea, Rep."
"Congo, Dem. Rep.",Agricultural land share,15.5,163,"163. Congo, Dem. Rep."
Vanuatu,Agricultural land share,15.3,164,164. Vanuatu
American Samoa,Agricultural land share,14.8,165,165. American Samoa
Chile,Agricultural land share,14.4,166,166. Chile
Cyprus,Agricultural land share,14,167,167. Cyprus
Bhutan,Agricultural land share,13.8,168,168. Bhutan
Russian Federation,Agricultural land share,13.2,169,169. Russian Federation
Japan,Agricultural land share,12.6,170,170. Japan
Jordan,Agricultural land share,11.5,171,171. Jordan
Cayman Islands,Agricultural land share,11.3,172,172. Cayman Islands
Aruba,Agricultural land share,11.1,173,173. Aruba
Trinidad and Tobago,Agricultural land share,10.5,174,174. Trinidad and Tobago
Bahrain,Agricultural land share,10.1,175,175. Bahrain
New Caledonia,Agricultural land share,10.1,176,176. New Caledonia
Lao PDR,Agricultural land share,9.9,177,177. Lao PDR
Virgin Islands (U.S.),Agricultural land share,9.4,178,178. Virgin Islands (U.S.)
Palau,Agricultural land share,9.3,179,179. Palau
Central African Republic,Agricultural land share,9.1,180,180. Central African Republic
French Polynesia,Agricultural land share,8.7,181,181. French Polynesia
Libya,Agricultural land share,8.7,182,182. Libya
Gabon,Agricultural land share,8.4,183,183. Gabon
Kuwait,Agricultural land share,8.4,184,184. Kuwait
Belize,Agricultural land share,8,185,185. Belize
Finland,Agricultural land share,7.4,186,186. Finland
Sweden,Agricultural land share,7.3,187,187. Sweden
"Micronesia, Fed. Sts.",Agricultural land share,7.1,188,"188. Micronesia, Fed. Sts."
Canada,Agricultural land share,6.5,189,189. Canada
Qatar,Agricultural land share,6.4,190,190. Qatar
Bermuda,Agricultural land share,5.6,191,191. Bermuda
United Arab Emirates,Agricultural land share,5.5,192,192. United Arab Emirates
Oman,Agricultural land share,4.8,193,193. Oman
"Egypt, Arab Rep.",Agricultural land share,4.1,194,"194. Egypt, Arab Rep."
Solomon Islands,Agricultural land share,3.9,195,195. Solomon Islands
"Hong Kong SAR, China",Agricultural land share,3.8,196,"196. Hong Kong SAR, China"
Equatorial Guinea,Agricultural land share,3.7,197,197. Equatorial Guinea
Guyana,Agricultural land share,3.4,198,198. Guyana
Seychelles,Agricultural land share,3.4,199,199. Seychelles
Papua New Guinea,Agricultural land share,3.1,200,200. Papua New Guinea
Norway,Agricultural land share,2.7,201,201. Norway
Brunei Darussalam,Agricultural land share,2.5,202,202. Brunei Darussalam
"Bahamas, The",Agricultural land share,1.3,203,"203. Bahamas, The"
Northern Mariana Islands,Agricultural land share,1.2,204,204. Northern Mariana Islands
Turks and Caicos Islands,Agricultural land share,1.1,205,205. Turks and Caicos Islands
Singapore,Agricultural land share,0.9,206,206. Singapore
Greenland,Agricultural land share,0.6,207,207. Greenland
Suriname,Agricultural land share,0.4,208,208. Suriname
Bangladesh,Arable land share,60.6,1,1. Bangladesh
Denmark,Arable land share,59.1,2,2. Denmark
Moldova,Arable land share,56.8,3,3. Moldova
Ukraine,Arable land share,56.8,4,4. Ukraine
India,Arable land share,51.8,5,5. India
Burundi,Arable land share,51.4,6,6. Burundi
Togo,Arable land share,48.7,7,7. Togo
Rwanda,Arable land share,47,8,8. Rwanda
Hungary,Arable land share,45.4,9,9. Hungary
"Gambia, The",Arable land share,43.5,10,"10. Gambia, The"
Malawi,Arable land share,42.4,11,11. Malawi
Isle of Man,Arable land share,41.1,12,12. Isle of Man
Nigeria,Arable land share,40.5,13,13. Nigeria
Pakistan,Arable land share,39.3,14,14. Pakistan
Mauritius,Arable land share,37.6,15,15. Mauritius
Lithuania,Arable land share,36.8,16,16. Lithuania
Poland,Arable land share,36.6,17,17. Poland
Haiti,Arable land share,36.5,18,18. Haiti
Romania,Arable land share,36.5,19,19. Romania
Comoros,Arable land share,34.9,20,20. Comoros
El Salvador,Arable land share,34.8,21,21. El Salvador
Uganda,Arable land share,34.4,22,22. Uganda
Germany,Arable land share,33.4,23,23. Germany
San Marino,Arable land share,33.1,24,24. San Marino
Czechia,Arable land share,32.7,25,25. Czechia
Bulgaria,Arable land share,32.1,26,26. Bulgaria
Benin,Arable land share,31.4,27,27. Benin
France,Arable land share,31.4,28,28. France
Serbia,Arable land share,31,29,29. Serbia
Thailand,Arable land share,31,30,30. Thailand
Netherlands,Arable land share,30,31,31. Netherlands
Burkina Faso,Arable land share,28.9,32,32. Burkina Faso
Belgium,Arable land share,28.3,33,33. Belgium
Cuba,Arable land share,28,34,34. Cuba
Tonga,Arable land share,27.8,35,35. Tonga
Belarus,Arable land share,27.4,36,36. Belarus
Slovak Republic,Arable land share,27.2,37,37. Slovak Republic
Turkiye,Arable land share,26.3,38,38. Turkiye
Azerbaijan,Arable land share,25.3,39,39. Azerbaijan
United Kingdom,Arable land share,25,40,40. United Kingdom
Guinea,Arable land share,24.4,41,41. Guinea
Italy,Arable land share,24,42,42. Italy
Syrian Arab Republic,Arable land share,24,43,43. Syrian Arab Republic
Luxembourg,Arable land share,23.8,44,44. Luxembourg
Cambodia,Arable land share,23.3,45,45. Cambodia
Spain,Arable land share,23,46,46. Spain
Malta,Arable land share,22.8,47,47. Malta
Sri Lanka,Arable land share,22.2,48,48. Sri Lanka
Latvia,Arable land share,21.9,49,49. Latvia
Sierra Leone,Arable land share,21.9,50,50. Sierra Leone
Albania,Arable land share,21.6,51,51. Albania
Viet Nam,Arable land share,21.5,52,52. Viet Nam
Ghana,Arable land share,20.7,53,53. Ghana
Dominican Republic,Arable land share,20.2,54,54. Dominican Republic
Senegal,Arable land share,19.9,55,55. Senegal
St. Kitts and Nevis,Arable land share,19.2,56,56. St. Kitts and Nevis
"Korea, Dem. People's Rep.",Arable land share,19.1,57,"57. Korea, Dem. People's Rep."
Philippines,Arable land share,18.7,58,58. Philippines
Tunisia,Arable land share,18.2,59,59. Tunisia
Myanmar,Arable land share,16.9,60,60. Myanmar
Estonia,Arable land share,16.6,61,61. Estonia
United States,Arable land share,16.6,62,62. United States
North Macedonia,Arable land share,16.5,63,63. North Macedonia
Barbados,Arable land share,16.3,64,64. Barbados
Austria,Arable land share,16,65,65. Austria
Armenia,Arable land share,15.7,66,66. Armenia
Croatia,Arable land share,15.5,67,67. Croatia
Morocco,Arable land share,15.4,68,68. Morocco
Tanzania,Arable land share,15.2,69,69. Tanzania
Cote d'Ivoire,Arable land share,15.1,70,70. Cote d'Ivoire
"Korea, Rep.",Arable land share,14.9,71,"71. Korea, Rep."
Argentina,Arable land share,14.8,72,72. Argentina
Ethiopia,Arable land share,14.5,73,73. Ethiopia
Guatemala,Arable land share,14.5,74,74. Guatemala
Greece,Arable land share,14.4,75,75. Greece
Guinea-Bissau,Arable land share,14.1,76,76. Guinea-Bissau
Niger,Arable land share,14,77,77. Niger
Maldives,Arable land share,13.4,78,78. Maldives
Cameroon,Arable land share,13.1,79,79. Cameroon
Lebanon,Arable land share,13.1,80,80. Lebanon
Nepal,Arable land share,12.6,81,81. Nepal
Uruguay,Arable land share,12.6,82,82. Uruguay
Israel,Arable land share,12.5,83,83. Israel
Nicaragua,Arable land share,12.5,84,84. Nicaragua
Cabo Verde,Arable land share,12.4,85,85. Cabo Verde
Afghanistan,Arable land share,12,86,86. Afghanistan
Lesotho,Arable land share,11.8,87,87. Lesotho
China,Arable land share,11.5,88,88. China
Paraguay,Arable land share,11.5,89,89. Paraguay
Iraq,Arable land share,11.4,90,90. Iraq
Kenya,Arable land share,11.4,91,91. Kenya
Sudan,Arable land share,11.2,92,92. Sudan
Aruba,Arable land share,11.1,93,93. Aruba
Jamaica,Arable land share,11.1,94,94. Jamaica
Japan,Arable land share,11.1,95,95. Japan
Kazakhstan,Arable land share,11,96,96. Kazakhstan
Liechtenstein,Arable land share,10.8,97,97. Liechtenstein
Cyprus,Arable land share,10.6,98,98. Cyprus
Zimbabwe,Arable land share,10.4,99,99. Zimbabwe
Eswatini,Arable land share,10.3,100,100. Eswatini
Mexico,Arable land share,10.3,101,101. Mexico
Portugal,Arable land share,10.1,102,102. Portugal
Switzerland,Arable land share,10,103,103. Switzerland
South Africa,Arable land share,9.9,104,104. South Africa
"Iran, Islamic Rep.",Arable land share,9.7,105,"105. Iran, Islamic Rep."
Indonesia,Arable land share,9.4,106,106. Indonesia
Antigua and Barbuda,Arable land share,9.1,107,107. Antigua and Barbuda
Honduras,Arable land share,9.1,108,108. Honduras
Uzbekistan,Arable land share,9.1,109,109. Uzbekistan
Slovenia,Arable land share,8.9,110,110. Slovenia
Grenada,Arable land share,8.8,111,111. Grenada
Dominica,Arable land share,8,112,112. Dominica
Panama,Arable land share,7.6,113,113. Panama
Timor-Leste,Arable land share,7.5,114,114. Timor-Leste
Finland,Arable land share,7.4,115,115. Finland
Russian Federation,Arable land share,7.4,116,116. Russian Federation
Bosnia and Herzegovina,Arable land share,7.2,117,117. Bosnia and Herzegovina
Mozambique,Arable land share,7.2,118,118. Mozambique
West Bank and Gaza,Arable land share,7,119,119. West Bank and Gaza
Mali,Arable land share,6.8,120,120. Mali
Brazil,Arable land share,6.7,121,121. Brazil
Kyrgyz Republic,Arable land share,6.7,122,122. Kyrgyz Republic
"Congo, Dem. Rep.",Arable land share,6.6,123,"123. Congo, Dem. Rep."
Ireland,Arable land share,6.4,124,124. Ireland
Sweden,Arable land share,6.2,125,125. Sweden
Tajikistan,Arable land share,6.1,126,126. Tajikistan
Eritrea,Arable land share,5.7,127,127. Eritrea
Puerto Rico (US),Arable land share,5.7,128,128. Puerto Rico (US)
Bermuda,Arable land share,5.6,129,129. Bermuda
Lao PDR,Arable land share,5.3,130,130. Lao PDR
American Samoa,Arable land share,5.2,131,131. American Samoa
Liberia,Arable land share,5.2,132,132. Liberia
Madagascar,Arable land share,5.2,133,133. Madagascar
Bolivia,Arable land share,5.1,134,134. Bolivia
St. Vincent and the Grenadines,Arable land share,5.1,135,135. St. Vincent and the Grenadines
Zambia,Arable land share,5.1,136,136. Zambia
Trinidad and Tobago,Arable land share,4.9,137,137. Trinidad and Tobago
Belize,Arable land share,4.4,138,138. Belize
Georgia,Arable land share,4.4,139,139. Georgia
St. Lucia,Arable land share,4.4,140,140. St. Lucia
Angola,Arable land share,4.3,141,141. Angola
Canada,Arable land share,4.3,142,142. Canada
Chad,Arable land share,4.2,143,143. Chad
Fiji,Arable land share,4.2,144,144. Fiji
Sao Tome and Principe,Arable land share,4.2,145,145. Sao Tome and Principe
Ecuador,Arable land share,4.1,146,146. Ecuador
Australia,Arable land share,4,147,147. Australia
Samoa,Arable land share,3.9,148,148. Samoa
South Sudan,Arable land share,3.9,149,149. South Sudan
Turkmenistan,Arable land share,3.4,150,150. Turkmenistan
Costa Rica,Arable land share,3.3,151,151. Costa Rica
Algeria,Arable land share,3.2,152,152. Algeria
"Egypt, Arab Rep.",Arable land share,3.1,153,"153. Egypt, Arab Rep."
Peru,Arable land share,3.1,154,154. Peru
Central African Republic,Arable land share,2.9,155,155. Central African Republic
"Micronesia, Fed. Sts.",Arable land share,2.9,156,"156. Micronesia, Fed. Sts."
"Venezuela, RB",Arable land share,2.9,157,"157. Venezuela, RB"
Marshall Islands,Arable land share,2.8,158,158. Marshall Islands
Bahrain,Arable land share,2.6,159,159. Bahrain
Bhutan,Arable land share,2.6,160,160. Bhutan
Virgin Islands (U.S.),Arable land share,2.6,161,161. Virgin Islands (U.S.)
Kiribati,Arable land share,2.5,162,162. Kiribati
Malaysia,Arable land share,2.4,163,163. Malaysia
Colombia,Arable land share,2.3,164,164. Colombia
Jordan,Arable land share,2.3,165,165. Jordan
Norway,Arable land share,2.2,166,166. Norway
"Yemen, Rep.",Arable land share,2.2,167,"167. Yemen, Rep."
New Zealand,Arable land share,2,168,168. New Zealand
Chile,Arable land share,1.9,169,169. Chile
Equatorial Guinea,Arable land share,1.9,170,170. Equatorial Guinea
Guam,Arable land share,1.9,171,171. Guam
"Hong Kong SAR, China",Arable land share,1.9,172,"172. Hong Kong SAR, China"
Qatar,Arable land share,1.8,173,173. Qatar
"Somalia, Fed. Rep.",Arable land share,1.8,174,"174. Somalia, Fed. Rep."
Andorra,Arable land share,1.6,175,175. Andorra
"Congo, Rep.",Arable land share,1.6,176,"176. Congo, Rep."
Saudi Arabia,Arable land share,1.6,177,177. Saudi Arabia
Vanuatu,Arable land share,1.6,178,178. Vanuatu
Gabon,Arable land share,1.3,179,179. Gabon
Iceland,Arable land share,1.2,180,180. Iceland
Turks and Caicos Islands,Arable land share,1.1,181,181. Turks and Caicos Islands
Libya,Arable land share,1,182,182. Libya
Namibia,Arable land share,1,183,183. Namibia
"Bahamas, The",Arable land share,0.8,184,"184. Bahamas, The"
Brunei Darussalam,Arable land share,0.8,185,185. Brunei Darussalam
Cayman Islands,Arable land share,0.8,186,186. Cayman Islands
Singapore,Arable land share,0.8,187,187. Singapore
Solomon Islands,Arable land share,0.8,188,188. Solomon Islands
French Polynesia,Arable land share,0.7,189,189. French Polynesia
Mongolia,Arable land share,0.7,190,190. Mongolia
Montenegro,Arable land share,0.7,191,191. Montenegro
Palau,Arable land share,0.7,192,192. Palau
Papua New Guinea,Arable land share,0.7,193,193. Papua New Guinea
United Arab Emirates,Arable land share,0.7,194,194. United Arab Emirates
Botswana,Arable land share,0.5,195,195. Botswana
Guyana,Arable land share,0.5,196,196. Guyana
Kuwait,Arable land share,0.4,197,197. Kuwait
Mauritania,Arable land share,0.4,198,198. Mauritania
New Caledonia,Arable land share,0.3,199,199. New Caledonia
Oman,Arable land share,0.3,200,200. Oman
Seychelles,Arable land share,0.3,201,201. Seychelles
Suriname,Arable land share,0.3,202,202. Suriname
Northern Mariana Islands,Arable land share,0.2,203,203. Northern Mariana Islands
Djibouti,Arable land share,0.1,204,204. Djibouti
Faroe Islands,Arable land share,0.1,205,205. Faroe Islands
United States,Budget,3724,1,1. United States
China,Budget,3140.5,2,2. China
Germany,Budget,960.7,3,3. Germany
France,Budget,705.7,4,4. France
United Kingdom,Budget,692.4,5,5. United Kingdom
Canada,Budget,454.3,6,6. Canada
Brazil,Budget,417.2,7,7. Brazil
Italy,Budget,409.3,8,8. Italy
India,Budget,375,9,9. India
Russian Federation,Budget,372,10,10. Russian Federation
Australia,Budget,368.3,11,11. Australia
"Korea, Rep.",Budget,323.7,12,"12. Korea, Rep."
Spain,Budget,315.3,13,13. Spain
Netherlands,Budget,282.9,14,14. Netherlands
Saudi Arabia,Budget,255.1,15,15. Saudi Arabia
Mexico,Budget,199.1,16,16. Mexico
Poland,Budget,153.9,17,17. Poland
Belgium,Budget,153.3,18,18. Belgium
Sweden,Budget,152.4,19,19. Sweden
Turkiye,Budget,146.5,20,20. Turkiye
Israel,Budget,114.3,21,21. Israel
Norway,Budget,106.5,22,22. Norway
Argentina,Budget,105.9,23,23. Argentina
Austria,Budget,104.7,24,24. Austria
Indonesia,Budget,102.2,25,25. Indonesia
Switzerland,Budget,100.7,26,26. Switzerland
Denmark,Budget,91.5,27,27. Denmark
Thailand,Budget,85.7,28,28. Thailand
Ukraine,Budget,75.9,29,29. Ukraine
Finland,Budget,75.6,30,30. Finland
South Africa,Budget,73.7,31,31. South Africa
Czechia,Budget,67.5,32,32. Czechia
Ireland,Budget,67.1,33,33. Ireland
United Arab Emirates,Budget,63.9,34,34. United Arab Emirates
Philippines,Budget,62.2,35,35. Philippines
Romania,Budget,60.1,36,36. Romania
Colombia,Budget,53.7,37,37. Colombia
"Iran, Islamic Rep.",Budget,52.1,38,"38. Iran, Islamic Rep."
Chile,Budget,51.3,39,39. Chile
"Hong Kong SAR, China",Budget,50.7,40,"40. Hong Kong SAR, China"
Singapore,Budget,50.5,41,41. Singapore
Portugal,Budget,48.8,42,42. Portugal
Malaysia,Budget,47.8,43,43. Malaysia
Iraq,Budget,47.1,44,44. Iraq
Greece,Budget,47,45,45. Greece
Algeria,Budget,44.4,46,46. Algeria
Hungary,Budget,42.5,47,47. Hungary
Viet Nam,Budget,38.4,48,48. Viet Nam
Peru,Budget,36.2,49,49. Peru
Pakistan,Budget,34.8,50,50. Pakistan
Kazakhstan,Budget,29.2,51,51. Kazakhstan
"Egypt, Arab Rep.",Budget,26.9,52,"52. Egypt, Arab Rep."
Slovak Republic,Budget,26.7,53,53. Slovak Republic
Morocco,Budget,26.1,54,54. Morocco
Bangladesh,Budget,24.8,55,55. Bangladesh
Oman,Budget,20.2,56,56. Oman
Bulgaria,Budget,18.9,57,57. Bulgaria
Croatia,Budget,18,58,58. Croatia
Ecuador,Budget,16.5,59,59. Ecuador
Luxembourg,Budget,16.3,60,60. Luxembourg
Libya,Budget,15.9,61,61. Libya
Uzbekistan,Budget,14.9,62,62. Uzbekistan
Serbia,Budget,13.9,63,63. Serbia
Lithuania,Budget,13.8,64,64. Lithuania
Dominican Republic,Budget,13.6,65,65. Dominican Republic
Slovenia,Budget,13.3,66,66. Slovenia
Belarus,Budget,12.9,67,67. Belarus
Costa Rica,Budget,12.9,68,68. Costa Rica
Kenya,Budget,12.9,69,69. Kenya
Guatemala,Budget,11.7,70,70. Guatemala
Panama,Budget,10.2,71,71. Panama
Azerbaijan,Budget,10,72,72. Azerbaijan
Puerto Rico (US),Budget,10,73,73. Puerto Rico (US)
Tunisia,Budget,9.4,74,74. Tunisia
Bolivia,Budget,8.7,75,75. Bolivia
Latvia,Budget,8.6,76,76. Latvia
Estonia,Budget,8.5,77,77. Estonia
Iceland,Budget,8,78,78. Iceland
Turkmenistan,Budget,7.7,79,79. Turkmenistan
Cote d'Ivoire,Budget,7.2,80,80. Cote d'Ivoire
Sudan,Budget,7,81,81. Sudan
Tanzania,Budget,6.9,82,82. Tanzania
Bahrain,Budget,6.8,83,83. Bahrain
El Salvador,Budget,6.5,84,84. El Salvador
Cyprus,Budget,6.3,85,85. Cyprus
"Macao SAR, China",Budget,6.3,86,"86. Macao SAR, China"
Botswana,Budget,5.7,87,87. Botswana
Sri Lanka,Budget,5.7,88,88. Sri Lanka
Bosnia and Herzegovina,Budget,5.3,89,89. Bosnia and Herzegovina
"Congo, Dem. Rep.",Budget,5.3,90,"90. Congo, Dem. Rep."
Zimbabwe,Budget,5.3,91,91. Zimbabwe
Cameroon,Budget,5.2,92,92. Cameroon
Paraguay,Budget,5.2,93,93. Paraguay
Honduras,Budget,5.1,94,94. Honduras
Senegal,Budget,4.9,95,95. Senegal
Uganda,Budget,4.7,96,96. Uganda
Angola,Budget,4.4,97,97. Angola
Ghana,Budget,4.4,98,98. Ghana
Burkina Faso,Budget,4.1,99,99. Burkina Faso
Georgia,Budget,3.7,100,100. Georgia
Malta,Budget,3.7,101,101. Malta
Zambia,Budget,3.7,102,102. Zambia
